Company,Date,Operating Income,Non-Operating Income,Pre-Tax Income,Tax Rate,Tax,Net Income,Shares,EPS
Amazon,2020-12-31,22899000000,2371000000,25270000000,0.15587653343886032,-3939000000,21331000000,509945015.5390868,41.83
Amazon,2019-12-31,14541000000,203000000,14744000000,0.21405317417254477,-3156000000,11588000000,503607127.33594084,23.01
Amazon,2018-12-31,12421000000,-183000000,12238000000,0.17690799150187939,-2165000000,10073000000,500148957.29890764,20.14
Amazon,2017-12-31,4106000000,346000000,4452000000,0.318733153638814,-1419000000,3033000000,493170731.70731705,6.15
Amazon,2016-12-31,4186000000,90000000,4276000000,0.4455098222637979,-1905000000,2371000000,483877551.02040815,4.9
Alphabet,2020-12-31,41224000000,6858000000,48082000000,0.16249324071378063,-7813000000,40269000000,680794590.0,59.150000002203306
Alphabet,2019-12-31,34231000000,-79000000,34152000000,0.005592644647458421,191000000,34343000000,698556063.8889047,49.16284
Alphabet,2018-12-31,27524000000,-994000000,26530000000,0.15853750471164718,4206000000,30736000000,703284955.7975703,43.70348
Alphabet,2017-12-31,26178000000,250000000,26428000000,0.5208869380959589,-13766000000,12662000000,703583988.6021838,17.99643
Alphabet,2016-12-31,23716000000,344000000,24060000000,0.19044056525353284,-4582000000,19478000000,698705934.0501664,27.87725
Microsoft,2020-06-30,52959000000,2668000000,55627000000,0.20396570010965898,-11346000000,44281000000,7687673611.111112,5.76
Microsoft,2019-06-30,42959000000,3415000000,46374000000,0.15383620131970502,-7134000000,39240000000,7754940711.462451,5.06
Microsoft,2018-06-30,35058000000,4149000000,39207000000,0.577345882112888,-22636000000,16571000000,7779812206.57277,2.13
Microsoft,2017-06-30,22632000000,2739000000,25371000000,0.16424263923377083,-4167000000,21204000000,7824354243.542436,2.71
Microsoft,2016-06-30,21292000000,-298000000,20994000000,0.1998666285605411,-4196000000,16798000000,7999047619.047619,2.1
